customer_id,customer_key,first_name,last_name,full_name,email,phone,address_line1,city,state,zip_code,country,customer_segment,industry,customer_status,acquisition_channel,registration_date,lifetime_value_usd,is_vip,created_at,updated_at
1,CUST-00001,Danielle,Johnson,Danielle Johnson,donaldgarcia@example.net,+1-219-560-0133,79402 Peterson Drives Apt. 511,Davisstad,PA,35172,US,Enterprise,Healthcare,Prospect,Paid Search,2019-12-04,61600.52,0,2023-08-26T00:28:36.464677,2024-09-24T01:57:50.451547
2,CUST-00002,Amanda,Dudley,Amanda Dudley,maria95@example.net,610.934.1316,55341 Amanda Gardens Apt. 764,Lake Mark,WI,07832,US,Enterprise,Media,Active,Partner,2020-08-25,105769.49,0,2019-08-09T10:43:29.735638,2024-01-12T17:58:06.752831
3,CUST-00003,Leslie,Adams,Leslie Adams,jason76@example.net,724.523.8849x696,710 Eric Estate,Carlsonfurt,MS,78605,US,Enterprise,Technology,Active,Partner,2019-06-24,150703.67,0,2024-12-21T02:04:11.818015,2024-07-12T15:44:25.466463
4,CUST-00004,Tasha,Valencia,Tasha Valencia,maldonadoamanda@example.com,001-551-446-2704x828,88095 Smith Lake Suite 303,North Jessicaland,WV,70323,US,Consumer,Technology,Inactive,Partner,2018-01-30,69908.58,0,2023-05-12T11:20:50.033068,2024-02-16T23:47:26.246997
5,CUST-00005,Thomas,Pierce,Thomas Pierce,ibrandt@example.net,001-734-265-7871x331,301 Jeremy Bypass,Chadbury,KY,88185,US,Mid-Market,Government,Active,Paid Search,2019-11-09,39292.14,0,2021-05-25T17:16:01.329196,2024-07-16T08:37:51.072138
6,CUST-00006,Jennifer,Khan,Jennifer Khan,kristenaguirre@example.org,216-856-6701,33387 Robert Harbors Suite 317,North Deniseside,MP,02435,US,Enterprise,Finance,Inactive,Organic,2022-01-12,90065.36,0,2024-10-12T18:06:23.064753,2024-12-05T01:12:27.283476
7,CUST-00007,Melinda,Martin,Melinda Martin,michellebarrera@example.org,(206)247-4687x2343,09788 Brian Pass Apt. 219,Lake Michellefurt,DE,75169,US,SMB,Healthcare,Prospect,Social Media,2021-05-26,134288.91,1,2019-09-22T07:50:03.461083,2024-08-05T14:15:22.480696
8,CUST-00008,Christine,Barnes,Christine Barnes,sarah35@example.org,362-547-5107x991,51354 Samuel Plains Suite 980,Sarahville,FM,18102,US,Enterprise,Media,Active,Event,2022-01-31,154820.68,0,2019-11-07T23:23:50.955743,2024-11-21T15:14:11.106017
9,CUST-00009,Julia,Moore,Julia Moore,jenniferharris@example.net,687-440-1640x052,680 Charles Spurs Apt. 805,South David,ME,48296,US,Mid-Market,Finance,Active,Event,2019-12-22,57360.62,0,2024-04-16T19:07:13.603532,2024-10-18T09:08:17.974092
10,CUST-00010,Michelle,Nolan,Michelle Nolan,elizabethgomez@example.net,(392)832-2602x56342,3375 Hoover Well,East Andrew,ID,52728,US,Enterprise,Technology,Active,Social Media,2019-06-21,69854.41,0,2020-04-19T00:54:04.083380,2024-11-12T08:28:34.474059
11,CUST-00011,Tammy,Ramirez,Tammy Ramirez,ifrazier@example.com,8147294019,9816 Jonathan Station Suite 088,West Ryan,TN,43780,US,Mid-Market,Education,Active,Referral,2022-06-28,167708.71,0,2022-05-12T18:50:43.683909,2024-08-30T19:11:44.129460
12,CUST-00012,David,Mccullough,David Mccullough,snguyen@example.com,+1-823-266-2994,3699 Marshall Mills Apt. 872,West Zacharymouth,CO,98954,US,Mid-Market,Media,Prospect,Referral,2021-07-20,41268.92,1,2019-08-24T07:46:45.508875,2024-04-23T14:43:28.467720
13,CUST-00013,Lindsay,Hernandez,Lindsay Hernandez,xcarr@example.org,569.436.7632x016,83172 Contreras Points Suite 798,Rivasside,NV,21362,US,SMB,Media,Active,Event,2018-04-29,81408.54,0,2023-03-16T18:47:57.997815,2024-06-22T17:32:24.910993
14,CUST-00014,Jonathon,Wright,Jonathon Wright,rsims@example.com,443-545-5812,231 Russell Plains Suite 603,Priceshire,UT,03061,US,Mid-Market,Healthcare,Active,Social Media,2022-06-18,67301.35,0,2023-12-30T19:22:11.242749,2024-10-07T04:58:57.923836
